Rowid,Timestamp,Anonymized Vehicle number,Vehicle type,Type of Payment code,Vehicle Code
145,Sat Jul 31 19:32:50 2021,1716955,TRUCK,144,Thu J
146,Sat Aug 21 13:56:33 2021,4153555,VAN,145,Sat J
147,Sat Jul 31 12:55:05 2021,5626263,CAR,146,Sat A
148,Fri Aug  6 23:05:57 2021,49472,CAR,147,Sat J
149,Thu Aug  5 15:24:15 2021,2497636,CAR,148,Fri A
150,Tue Aug  3 19:13:15 2021,7825358,TRUCK,149,Thu A
151,Sat Jul 31 11:27:59 2021,6084818,VAN,150,Tue A
152,Thu Aug 19 18:53:39 2021,5455899,CAR,151,Sat J
153,Tue Aug 17 22:11:51 2021,1849505,VAN,152,Thu A
154,Wed Aug 18 19:49:38 2021,6114302,CAR,153,Tue A
155,Sun Aug 15 12:34:18 2021,8064123,CAR,154,Wed A
156,Fri Aug  6 19:17:50 2021,538972,TRUCK,155,Sun A
157,Fri Jul 30 13:58:53 2021,6869546,TRUCK,156,Fri A
158,Mon Aug  2 16:00:33 2021,3766512,CAR,157,Fri J
159,Fri Aug 20 21:45:41 2021,3528403,CAR,158,Mon A
160,Fri Aug 20 04:59:50 2021,4380057,VAN,159,Fri A
161,Sun Aug 15 00:36:59 2021,7876599,CAR,160,Fri A
162,Fri Aug 13 00:25:06 2021,969619,CAR,161,Sun A
163,Fri Jul 30 13:42:03 2021,5763049,CAR,162,Fri A
164,Mon Aug 16 05:46:00 2021,6079402,TRUCK,163,Fri J
165,Sun Aug  1 22:59:23 2021,4832816,CAR,164,Mon A
166,Fri Aug 20 12:19:46 2021,3518759,TRUCK,165,Sun A
167,Sat Jul 31 02:42:05 2021,4469770,TRUCK,166,Fri A
168,Fri Aug  6 11:25:34 2021,7942552,TRUCK,167,Sat J
169,Tue Aug 17 21:17:32 2021,2493747,TRUCK,168,Fri A
170,Tue Aug  3 15:31:28 2021,8099060,CAR,169,Tue A
171,Fri Aug 20 22:50:25 2021,4492765,TRUCK,170,Tue A
172,Fri Aug  6 07:45:56 2021,5758058,CAR,171,Fri A
173,Thu Aug 19 00:24:55 2021,9496559,CAR,172,Fri A
174,Fri Jul 30 02:24:22 2021,3174341,CAR,173,Thu A
175,Fri Aug 13 05:55:34 2021,3318165,CAR,174,Fri J
176,Mon Aug  2 14:28:14 2021,7509515,TRUCK,175,Fri A
177,Tue Aug  3 12:47:44 2021,367073,CAR,176,Mon A
178,Sun Aug  8 09:26:56 2021,8543348,TRUCK,177,Tue A
179,Fri Aug 20 04:16:14 2021,4588656,CAR,178,Sun A
180,Fri Aug 20 04:22:16 2021,9706662,CAR,179,Fri A
181,Tue Aug 10 03:28:33 2021,3359010,CAR,180,Fri A
182,Wed Aug 18 11:24:47 2021,7639441,CAR,181,Tue A
183,Tue Aug  3 08:52:25 2021,9449600,CAR,182,Wed A
184,Wed Aug 11 06:39:10 2021,7572233,CAR,183,Tue A
185,Fri Aug 20 03:23:49 2021,7096671,TRUCK,184,Wed A
186,Fri Jul 30 23:54:00 2021,6218100,CAR,185,Fri A
187,Wed Aug 11 07:11:55 2021,9500467,VAN,186,Fri J
188,Sun Aug 15 20:41:12 2021,2551672,TRUCK,187,Wed A
189,Wed Aug 18 18:28:36 2021,4423795,CAR,188,Sun A
190,Mon Aug  9 07:19:12 2021,1520424,CAR,189,Wed A
191,Tue Aug 10 16:39:12 2021,5680437,CAR,190,Mon A
192,Mon Aug  9 02:30:05 2021,1469208,VAN,191,Tue A
193,Mon Aug  9 06:58:52 2021,9017449,CAR,192,Mon A
194,Sat Aug  7 03:09:03 2021,9014873,TRUCK,193,Mon A
195,Sat Aug  7 21:03:28 2021,6849933,CAR,194,Sat A
196,Sun Aug  1 00:29:43 2021,1907386,CAR,195,Sat A
197,Sun Aug  1 01:56:36 2021,5556619,TRUCK,196,Sun A
198,Tue Aug 17 00:22:53 2021,8724319,TRUCK,197,Sun A
199,Mon Aug  9 08:24:12 2021,4066334,CAR,198,Tue A
200,Sat Jul 31 19:46:31 2021,1208453,CAR,199,Mon A
201,Fri Aug  6 18:13:51 2021,8705286,TRUCK,200,Sat J
202,Thu Aug 12 00:17:15 2021,758555,CAR,201,Fri A
203,Tue Aug 10 22:07:00 2021,7388283,CAR,202,Thu A
204,Sun Aug  8 07:16:20 2021,7589773,CAR,203,Tue A
205,Wed Aug 18 08:29:07 2021,2316095,CAR,204,Sun A
206,Tue Aug 10 20:36:42 2021,1847455,VAN,205,Wed A
207,Fri Aug 13 05:36:53 2021,7707016,CAR,206,Tue A
208,Sun Aug  1 04:10:44 2021,2616520,TRUCK,207,Fri A
209,Sun Aug 15 11:41:43 2021,8332760,TRUCK,208,Sun A
210,Mon Aug  9 05:19:02 2021,9677148,CAR,209,Sun A
211,Wed Aug  4 19:23:36 2021,2695699,CAR,210,Mon A
212,Fri Aug 20 04:00:27 2021,1836057,CAR,211,Wed A
213,Wed Aug 18 09:20:33 2021,7980271,TRUCK,212,Fri A
214,Sat Jul 31 01:41:58 2021,9166253,CAR,213,Wed A
215,Mon Aug  2 20:26:27 2021,5966610,CAR,214,Sat J
216,Tue Aug 10 14:11:13 2021,8273227,CAR,215,Mon A
217,Tue Aug 17 11:21:41 2021,4772310,CAR,216,Tue A
218,Thu Aug 12 01:18:11 2021,401226,CAR,217,Tue A
219,Mon Aug  2 22:30:06 2021,5259884,VAN,218,Thu A
220,Thu Aug 12 13:20:29 2021,4560546,CAR,219,Mon A
221,Fri Aug  6 23:10:56 2021,3679257,TRUCK,220,Thu A
222,Sun Aug  8 01:28:48 2021,5001460,CAR,221,Fri A
223,Thu Aug 12 14:26:03 2021,488809,CAR,222,Sun A
224,Sun Aug 15 16:57:15 2021,4435309,CAR,223,Thu A
225,Fri Aug  6 17:35:18 2021,9206176,CAR,224,Sun A
226,Sat Aug  7 03:08:44 2021,5665208,TRUCK,225,Fri A
227,Sun Aug  1 05:31:31 2021,3619766,CAR,226,Sat A
228,Wed Aug 18 09:22:29 2021,8195160,CAR,227,Sun A
229,Wed Aug  4 05:40:04 2021,689804,TRUCK,228,Wed A
230,Mon Aug 16 02:36:38 2021,7671204,CAR,229,Wed A
231,Fri Aug  6 19:31:40 2021,7549660,TRUCK,230,Mon A
232,Mon Aug  2 17:00:36 2021,6999001,CAR,231,Fri A
233,Thu Aug 12 15:17:57 2021,3470780,TRUCK,232,Mon A
234,Sat Aug  7 15:21:43 2021,3321932,CAR,233,Thu A
235,Mon Aug  9 04:56:23 2021,2993477,TRUCK,234,Sat A
236,Fri Aug 13 09:02:27 2021,7137012,CAR,235,Mon A
237,Mon Aug  2 07:55:35 2021,4425207,CAR,236,Fri A
238,Sat Aug 14 11:54:16 2021,8906007,CAR,237,Mon A
239,Sat Jul 31 04:23:09 2021,2613132,CAR,238,Sat A
240,Mon Aug 16 01:53:03 2021,1351738,TRUCK,239,Sat J
241,Sat Aug 14 11:49:22 2021,8845283,CAR,240,Mon A
242,Wed Aug 18 19:07:34 2021,5207716,CAR,241,Sat A
243,Mon Aug  9 05:34:28 2021,2593435,CAR,242,Wed A
244,Sat Aug 14 08:00:30 2021,3194131,CAR,243,Mon A
245,Sat Aug 14 08:01:53 2021,946473,CAR,244,Sat A
246,Mon Aug  2 19:28:13 2021,2098761,TRUCK,245,Sat A
247,Wed Aug 11 02:53:00 2021,7556070,VAN,246,Mon A
248,Fri Aug 13 20:51:49 2021,7949412,CAR,247,Wed A
249,Mon Aug 16 01:15:58 2021,4982057,CAR,248,Fri A
250,Sun Aug 15 04:10:44 2021,1732371,CAR,249,Mon A
251,Sun Aug  8 23:50:15 2021,4012995,CAR,250,Sun A
252,Wed Aug 18 07:43:49 2021,2596237,CAR,251,Sun A
253,Mon Aug  2 17:51:59 2021,8381319,CAR,252,Wed A
254,Wed Aug 11 21:55:31 2021,5062265,TRUCK,253,Mon A
255,Mon Aug 16 17:16:35 2021,7705983,CAR,254,Wed A
256,Thu Jul 29 16:35:35 2021,2307979,VAN,255,Mon A
257,Mon Aug 16 03:21:45 2021,2588561,CAR,256,Thu J
258,Sun Aug  8 12:39:42 2021,6847371,CAR,257,Mon A
259,Tue Aug 17 15:39:08 2021,2121085,CAR,258,Sun A
260,Tue Aug  3 01:37:46 2021,1734512,CAR,259,Tue A
261,Tue Aug 17 22:18:40 2021,7759834,TRUCK,260,Tue A
262,Mon Aug 16 10:41:55 2021,6292412,CAR,261,Tue A
263,Fri Aug 13 11:00:14 2021,866998,CAR,262,Mon A
264,Thu Aug 12 23:25:40 2021,9057323,TRUCK,263,Fri A
265,Fri Aug  6 03:55:57 2021,8091650,CAR,264,Thu A
266,Thu Aug  5 23:24:23 2021,2155384,CAR,265,Fri A
267,Tue Aug  3 06:54:05 2021,1867583,CAR,266,Thu A
268,Mon Aug 16 07:28:50 2021,2703371,TRUCK,267,Tue A
269,Tue Aug  3 20:00:16 2021,8368036,CAR,268,Mon A
270,Mon Aug 16 07:03:18 2021,3418635,TRUCK,269,Tue A
271,Sun Aug 15 16:44:18 2021,301035,CAR,270,Mon A
272,Thu Aug 12 13:34:54 2021,4648848,CAR,271,Sun A
273,Fri Aug 13 02:09:10 2021,758078,CAR,272,Thu A
274,Sat Aug  7 04:50:03 2021,1517284,VAN,273,Fri A
275,Wed Aug  4 20:38:41 2021,5708944,CAR,274,Sat A
276,Thu Jul 29 20:17:07 2021,202496,CAR,275,Wed A
277,Thu Jul 29 19:34:22 2021,6716922,TRUCK,276,Thu J
278,Sun Aug  8 03:23:33 2021,5536264,CAR,277,Thu J
279,Sun Aug  8 07:34:29 2021,2105735,CAR,278,Sun A
280,Sat Jul 31 12:39:28 2021,8857993,CAR,279,Sun A
281,Mon Aug  9 15:56:14 2021,514282,CAR,280,Sat J
282,Fri Aug  6 23:44:18 2021,847307,TRUCK,281,Mon A
283,Sat Aug  7 06:42:24 2021,2573891,VAN,282,Fri A
284,Fri Aug  6 08:07:39 2021,9009917,CAR,283,Sat A
285,Thu Aug 19 14:34:35 2021,1701415,TRUCK,284,Fri A
286,Sat Aug  7 20:38:49 2021,5040531,CAR,285,Thu A
287,Fri Aug 20 13:15:02 2021,1297862,CAR,286,Sat A
288,Wed Aug  4 06:15:30 2021,1932822,VAN,287,Fri A
289,Sat Jul 31 21:51:59 2021,8569313,CAR,288,Wed A
290,Sun Aug  8 06:33:09 2021,6311114,CAR,289,Sat J
291,Mon Aug 16 06:11:04 2021,1451546,CAR,290,Sun A
292,Fri Aug 20 13:36:58 2021,1711676,VAN,291,Mon A
293,Mon Aug  9 18:51:11 2021,6740804,CAR,292,Fri A
294,Wed Aug 18 12:19:24 2021,9049528,CAR,293,Mon A
295,Sun Aug 15 08:30:45 2021,5269094,VAN,294,Wed A
296,Wed Aug 11 13:15:58 2021,4753661,CAR,295,Sun A
297,Sat Aug 14 09:06:09 2021,1948111,CAR,296,Wed A
298,Tue Aug 17 00:00:26 2021,5894664,VAN,297,Sat A
299,Wed Aug 11 04:51:17 2021,5455717,TRUCK,298,Tue A
300,Mon Aug  2 21:43:22 2021,1499647,CAR,299,Wed A
301,Thu Aug  5 21:50:38 2021,2843245,TRUCK,300,Mon A
302,Mon Aug 16 04:30:00 2021,9796603,TRUCK,301,Thu A
303,Sun Aug  1 21:21:40 2021,5671860,CAR,302,Mon A
304,Tue Aug 17 04:20:26 2021,425972,TRUCK,303,Sun A
305,Tue Aug 10 07:28:04 2021,7588083,CAR,304,Tue A
306,Wed Aug  4 03:45:21 2021,4816147,CAR,305,Tue A
307,Thu Aug 12 06:45:42 2021,461211,CAR,306,Wed A
308,Fri Jul 30 07:48:58 2021,7091224,CAR,307,Thu A
309,Sat Aug 14 03:11:57 2021,3540160,CAR,308,Fri J
310,Sat Aug 21 01:26:42 2021,863358,VAN,309,Sat A
311,Sat Aug 21 07:49:28 2021,2813269,TRUCK,310,Sat A
312,Sun Aug 15 02:47:01 2021,4346673,CAR,311,Sat A
313,Mon Aug  9 05:22:43 2021,2872850,TRUCK,312,Sun A
314,Thu Aug 12 02:39:09 2021,6322565,CAR,313,Mon A
315,Tue Aug 10 13:58:49 2021,2138116,CAR,314,Thu A
316,Sat Aug 14 23:05:55 2021,9574626,VAN,315,Tue A
317,Thu Aug  5 18:17:26 2021,8951022,CAR,316,Sat A
318,Sat Jul 31 09:29:28 2021,6597551,TRUCK,317,Thu A
319,Sun Aug  8 22:50:36 2021,3348298,CAR,318,Sat J
320,Fri Jul 30 20:45:55 2021,846482,CAR,319,Sun A
321,Tue Aug  3 11:54:14 2021,6676389,CAR,320,Fri J
322,Mon Aug  9 16:32:26 2021,5427260,CAR,321,Tue A
323,Tue Aug 17 07:58:48 2021,1653255,TRUCK,322,Mon A
324,Tue Aug 17 19:16:31 2021,2976969,CAR,323,Tue A
325,Tue Aug 17 10:01:21 2021,2959955,CAR,324,Tue A
326,Sun Aug  8 13:34:03 2021,8519579,CAR,325,Tue A
327,Wed Aug  4 13:51:04 2021,340196,TRUCK,326,Sun A
328,Sun Aug 15 14:02:51 2021,1959570,TRUCK,327,Wed A
329,Tue Aug  3 14:46:46 2021,4214176,CAR,328,Sun A
330,Sat Aug  7 11:24:50 2021,430612,TRUCK,329,Tue A
331,Sat Aug  7 10:02:09 2021,2164841,CAR,330,Sat A
332,Wed Aug 18 15:40:47 2021,6533535,CAR,331,Sat A
333,Tue Aug 17 10:44:33 2021,4798571,TRUCK,332,Wed A
334,Sun Aug 15 18:22:49 2021,2760594,CAR,333,Tue A
335,Sat Aug 14 12:31:44 2021,2304313,TRUCK,334,Sun A
336,Sat Aug  7 10:52:13 2021,2985337,CAR,335,Sat A
337,Sat Aug 21 09:14:47 2021,4227039,CAR,336,Sat A
338,Thu Aug  5 08:01:30 2021,1255970,TRUCK,337,Sat A
339,Fri Aug 13 01:03:49 2021,5241924,TRUCK,338,Thu A
340,Tue Aug  3 20:43:16 2021,7451832,CAR,339,Fri A
341,Mon Aug  2 04:45:44 2021,3989343,TRUCK,340,Tue A
342,Sat Aug 14 18:14:30 2021,1804267,VAN,341,Mon A
343,Tue Aug 17 17:11:29 2021,1589440,TRUCK,342,Sat A
344,Sat Aug 21 19:27:45 2021,7750582,CAR,343,Tue A
345,Sun Aug  8 12:34:50 2021,116476,CAR,344,Sat A
346,Fri Aug 20 07:15:06 2021,2617674,CAR,345,Sun A
347,Tue Aug 10 21:55:17 2021,4228191,CAR,346,Fri A
348,Mon Aug  9 14:43:31 2021,109141,VAN,347,Tue A
349,Wed Aug 11 16:55:19 2021,5065439,CAR,348,Mon A
350,Sun Aug 22 15:33:59 2021,1852318,TRUCK,349,Wed A
351,Tue Aug 17 19:49:02 2021,3191217,CAR,350,Sun A
352,Fri Aug 20 13:55:39 2021,8036070,CAR,351,Tue A
353,Thu Jul 29 17:40:36 2021,7270810,CAR,352,Fri A
354,Sat Jul 31 07:08:17 2021,4800433,CAR,353,Thu J
355,Sun Aug 15 14:59:08 2021,7600086,CAR,354,Sat J
356,Mon Aug 16 20:41:37 2021,1308715,TRUCK,355,Sun A
357,Thu Aug 19 16:46:20 2021,448292,CAR,356,Mon A
358,Tue Aug  3 10:52:15 2021,8125706,TRUCK,357,Thu A
359,Sat Aug  7 22:39:54 2021,7354020,TRUCK,358,Tue A
360,Fri Aug 20 12:45:43 2021,8604614,CAR,359,Sat A
361,Mon Aug 16 04:34:39 2021,8074052,CAR,360,Fri A
362,Tue Aug 17 21:02:38 2021,3137291,CAR,361,Mon A
363,Mon Aug  2 07:57:43 2021,7817055,CAR,362,Tue A
364,Mon Aug  2 23:55:35 2021,9979009,CAR,363,Mon A
365,Wed Aug 18 07:46:35 2021,7381741,CAR,364,Mon A
366,Tue Aug 10 09:53:24 2021,6413555,CAR,365,Wed A
367,Thu Aug  5 09:24:17 2021,5271350,CAR,366,Tue A
368,Sat Aug 21 02:13:24 2021,5887331,CAR,367,Thu A
369,Fri Aug 13 03:38:51 2021,2484968,CAR,368,Sat A
370,Sun Aug 15 21:25:06 2021,2023578,CAR,369,Fri A
371,Sat Aug 14 14:44:43 2021,2574839,CAR,370,Sun A
372,Sat Aug 21 11:27:08 2021,192172,TRUCK,371,Sat A
373,Sat Jul 31 09:30:08 2021,1794758,TRUCK,372,Sat A
374,Tue Aug  3 14:17:39 2021,254824,CAR,373,Sat J
375,Sun Aug  8 21:51:35 2021,8317981,TRUCK,374,Tue A
376,Wed Aug 11 15:12:48 2021,7578701,VAN,375,Sun A
377,Thu Aug  5 12:56:57 2021,2555513,CAR,376,Wed A
378,Tue Aug 17 01:48:59 2021,2119264,CAR,377,Thu A
379,Sat Aug 21 20:51:46 2021,239988,CAR,378,Tue A
380,Mon Aug 16 11:08:11 2021,147156,VAN,379,Sat A
381,Sun Aug  8 18:05:36 2021,6891565,CAR,380,Mon A
382,Fri Aug  6 20:55:48 2021,4765841,CAR,381,Sun A
383,Fri Aug  6 10:14:37 2021,9017443,CAR,382,Fri A
384,Sat Aug 21 21:23:37 2021,8747053,CAR,383,Fri A
385,Sat Jul 31 03:38:36 2021,839289,TRUCK,384,Sat A
386,Sun Aug 15 14:11:42 2021,7212737,CAR,385,Sat J
387,Sat Jul 31 22:09:56 2021,9707238,TRUCK,386,Sun A
388,Mon Aug 16 23:15:11 2021,9288974,CAR,387,Sat J
389,Fri Jul 30 20:43:48 2021,2130769,CAR,388,Mon A
390,Tue Aug 10 02:13:35 2021,3651531,CAR,389,Fri J
391,Sun Aug 22 16:20:32 2021,5066582,CAR,390,Tue A
392,Sat Aug 21 10:40:29 2021,318251,CAR,391,Sun A
393,Sat Aug 21 13:30:56 2021,1018828,CAR,392,Sat A
394,Sun Aug  8 17:03:19 2021,4329135,CAR,393,Sat A
