Rowid,Timestamp,Anonymized Vehicle number,Vehicle type,Type of Payment code,Vehicle Code
154,Wed Aug 18 19:49:38 2021,6114302,car,153,Tue A
155,Sun Aug 15 12:34:18 2021,8064123,car,154,Wed A
156,Fri Aug  6 19:17:50 2021,538972,truck,155,Sun A
157,Fri Jul 30 13:58:53 2021,6869546,truck,156,Fri A
158,Mon Aug  2 16:00:33 2021,3766512,car,157,Fri J
159,Fri Aug 20 21:45:41 2021,3528403,car,158,Mon A
160,Fri Aug 20 04:59:50 2021,4380057,van,159,Fri A
161,Sun Aug 15 00:36:59 2021,7876599,car,160,Fri A
162,Fri Aug 13 00:25:06 2021,969619,car,161,Sun A
163,Fri Jul 30 13:42:03 2021,5763049,car,162,Fri A
164,Mon Aug 16 05:46:00 2021,6079402,truck,163,Fri J
165,Sun Aug  1 22:59:23 2021,4832816,car,164,Mon A
166,Fri Aug 20 12:19:46 2021,3518759,truck,165,Sun A
167,Sat Jul 31 02:42:05 2021,4469770,truck,166,Fri A
168,Fri Aug  6 11:25:34 2021,7942552,truck,167,Sat J
169,Tue Aug 17 21:17:32 2021,2493747,truck,168,Fri A
170,Tue Aug  3 15:31:28 2021,8099060,car,169,Tue A
171,Fri Aug 20 22:50:25 2021,4492765,truck,170,Tue A
172,Fri Aug  6 07:45:56 2021,5758058,car,171,Fri A
173,Thu Aug 19 00:24:55 2021,9496559,car,172,Fri A
174,Fri Jul 30 02:24:22 2021,3174341,car,173,Thu A
175,Fri Aug 13 05:55:34 2021,3318165,car,174,Fri J
176,Mon Aug  2 14:28:14 2021,7509515,truck,175,Fri A
177,Tue Aug  3 12:47:44 2021,367073,car,176,Mon A
178,Sun Aug  8 09:26:56 2021,8543348,truck,177,Tue A
179,Fri Aug 20 04:16:14 2021,4588656,car,178,Sun A
180,Fri Aug 20 04:22:16 2021,9706662,car,179,Fri A
181,Tue Aug 10 03:28:33 2021,3359010,car,180,Fri A
182,Wed Aug 18 11:24:47 2021,7639441,car,181,Tue A
183,Tue Aug  3 08:52:25 2021,9449600,car,182,Wed A
184,Wed Aug 11 06:39:10 2021,7572233,car,183,Tue A
185,Fri Aug 20 03:23:49 2021,7096671,truck,184,Wed A
186,Fri Jul 30 23:54:00 2021,6218100,car,185,Fri A
187,Wed Aug 11 07:11:55 2021,9500467,van,186,Fri J
188,Sun Aug 15 20:41:12 2021,2551672,truck,187,Wed A
189,Wed Aug 18 18:28:36 2021,4423795,car,188,Sun A
190,Mon Aug  9 07:19:12 2021,1520424,car,189,Wed A
191,Tue Aug 10 16:39:12 2021,5680437,car,190,Mon A
192,Mon Aug  9 02:30:05 2021,1469208,van,191,Tue A
193,Mon Aug  9 06:58:52 2021,9017449,car,192,Mon A
194,Sat Aug  7 03:09:03 2021,9014873,truck,193,Mon A
195,Sat Aug  7 21:03:28 2021,6849933,car,194,Sat A
196,Sun Aug  1 00:29:43 2021,1907386,car,195,Sat A
197,Sun Aug  1 01:56:36 2021,5556619,truck,196,Sun A
198,Tue Aug 17 00:22:53 2021,8724319,truck,197,Sun A
199,Mon Aug  9 08:24:12 2021,4066334,car,198,Tue A
200,Sat Jul 31 19:46:31 2021,1208453,car,199,Mon A
201,Fri Aug  6 18:13:51 2021,8705286,truck,200,Sat J
202,Thu Aug 12 00:17:15 2021,758555,car,201,Fri A
203,Tue Aug 10 22:07:00 2021,7388283,car,202,Thu A
204,Sun Aug  8 07:16:20 2021,7589773,car,203,Tue A
205,Wed Aug 18 08:29:07 2021,2316095,car,204,Sun A
206,Tue Aug 10 20:36:42 2021,1847455,van,205,Wed A
207,Fri Aug 13 05:36:53 2021,7707016,car,206,Tue A
208,Sun Aug  1 04:10:44 2021,2616520,truck,207,Fri A
209,Sun Aug 15 11:41:43 2021,8332760,truck,208,Sun A
210,Mon Aug  9 05:19:02 2021,9677148,car,209,Sun A
211,Wed Aug  4 19:23:36 2021,2695699,car,210,Mon A
212,Fri Aug 20 04:00:27 2021,1836057,car,211,Wed A
213,Wed Aug 18 09:20:33 2021,7980271,truck,212,Fri A
214,Sat Jul 31 01:41:58 2021,9166253,car,213,Wed A
215,Mon Aug  2 20:26:27 2021,5966610,car,214,Sat J
216,Tue Aug 10 14:11:13 2021,8273227,car,215,Mon A
217,Tue Aug 17 11:21:41 2021,4772310,car,216,Tue A
218,Thu Aug 12 01:18:11 2021,401226,car,217,Tue A
219,Mon Aug  2 22:30:06 2021,5259884,van,218,Thu A
220,Thu Aug 12 13:20:29 2021,4560546,car,219,Mon A
221,Fri Aug  6 23:10:56 2021,3679257,truck,220,Thu A
222,Sun Aug  8 01:28:48 2021,5001460,car,221,Fri A
223,Thu Aug 12 14:26:03 2021,488809,car,222,Sun A
224,Sun Aug 15 16:57:15 2021,4435309,car,223,Thu A
225,Fri Aug  6 17:35:18 2021,9206176,car,224,Sun A
226,Sat Aug  7 03:08:44 2021,5665208,truck,225,Fri A
227,Sun Aug  1 05:31:31 2021,3619766,car,226,Sat A
228,Wed Aug 18 09:22:29 2021,8195160,car,227,Sun A
229,Wed Aug  4 05:40:04 2021,689804,truck,228,Wed A
230,Mon Aug 16 02:36:38 2021,7671204,car,229,Wed A
231,Fri Aug  6 19:31:40 2021,7549660,truck,230,Mon A
232,Mon Aug  2 17:00:36 2021,6999001,car,231,Fri A
233,Thu Aug 12 15:17:57 2021,3470780,truck,232,Mon A
234,Sat Aug  7 15:21:43 2021,3321932,car,233,Thu A
235,Mon Aug  9 04:56:23 2021,2993477,truck,234,Sat A
236,Fri Aug 13 09:02:27 2021,7137012,car,235,Mon A
237,Mon Aug  2 07:55:35 2021,4425207,car,236,Fri A
238,Sat Aug 14 11:54:16 2021,8906007,car,237,Mon A
239,Sat Jul 31 04:23:09 2021,2613132,car,238,Sat A
240,Mon Aug 16 01:53:03 2021,1351738,truck,239,Sat J
241,Sat Aug 14 11:49:22 2021,8845283,car,240,Mon A
242,Wed Aug 18 19:07:34 2021,5207716,car,241,Sat A
243,Mon Aug  9 05:34:28 2021,2593435,car,242,Wed A
244,Sat Aug 14 08:00:30 2021,3194131,car,243,Mon A
245,Sat Aug 14 08:01:53 2021,946473,car,244,Sat A
246,Mon Aug  2 19:28:13 2021,2098761,truck,245,Sat A
247,Wed Aug 11 02:53:00 2021,7556070,van,246,Mon A
248,Fri Aug 13 20:51:49 2021,7949412,car,247,Wed A
249,Mon Aug 16 01:15:58 2021,4982057,car,248,Fri A
250,Sun Aug 15 04:10:44 2021,1732371,car,249,Mon A
251,Sun Aug  8 23:50:15 2021,4012995,car,250,Sun A
252,Wed Aug 18 07:43:49 2021,2596237,car,251,Sun A
253,Mon Aug  2 17:51:59 2021,8381319,car,252,Wed A
254,Wed Aug 11 21:55:31 2021,5062265,truck,253,Mon A
255,Mon Aug 16 17:16:35 2021,7705983,car,254,Wed A
256,Thu Jul 29 16:35:35 2021,2307979,van,255,Mon A
257,Mon Aug 16 03:21:45 2021,2588561,car,256,Thu J
258,Sun Aug  8 12:39:42 2021,6847371,car,257,Mon A
259,Tue Aug 17 15:39:08 2021,2121085,car,258,Sun A
260,Tue Aug  3 01:37:46 2021,1734512,car,259,Tue A
261,Tue Aug 17 22:18:40 2021,7759834,truck,260,Tue A
262,Mon Aug 16 10:41:55 2021,6292412,car,261,Tue A
263,Fri Aug 13 11:00:14 2021,866998,car,262,Mon A
264,Thu Aug 12 23:25:40 2021,9057323,truck,263,Fri A
265,Fri Aug  6 03:55:57 2021,8091650,car,264,Thu A
266,Thu Aug  5 23:24:23 2021,2155384,car,265,Fri A
267,Tue Aug  3 06:54:05 2021,1867583,car,266,Thu A
268,Mon Aug 16 07:28:50 2021,2703371,truck,267,Tue A
269,Tue Aug  3 20:00:16 2021,8368036,car,268,Mon A
270,Mon Aug 16 07:03:18 2021,3418635,truck,269,Tue A
271,Sun Aug 15 16:44:18 2021,301035,car,270,Mon A
272,Thu Aug 12 13:34:54 2021,4648848,car,271,Sun A
273,Fri Aug 13 02:09:10 2021,758078,car,272,Thu A
274,Sat Aug  7 04:50:03 2021,1517284,van,273,Fri A
275,Wed Aug  4 20:38:41 2021,5708944,car,274,Sat A
276,Thu Jul 29 20:17:07 2021,202496,car,275,Wed A
277,Thu Jul 29 19:34:22 2021,6716922,truck,276,Thu J
278,Sun Aug  8 03:23:33 2021,5536264,car,277,Thu J
279,Sun Aug  8 07:34:29 2021,2105735,car,278,Sun A
280,Sat Jul 31 12:39:28 2021,8857993,car,279,Sun A
281,Mon Aug  9 15:56:14 2021,514282,car,280,Sat J
282,Fri Aug  6 23:44:18 2021,847307,truck,281,Mon A
283,Sat Aug  7 06:42:24 2021,2573891,van,282,Fri A
284,Fri Aug  6 08:07:39 2021,9009917,car,283,Sat A
285,Thu Aug 19 14:34:35 2021,1701415,truck,284,Fri A
286,Sat Aug  7 20:38:49 2021,5040531,car,285,Thu A
287,Fri Aug 20 13:15:02 2021,1297862,car,286,Sat A
288,Wed Aug  4 06:15:30 2021,1932822,van,287,Fri A
289,Sat Jul 31 21:51:59 2021,8569313,car,288,Wed A
290,Sun Aug  8 06:33:09 2021,6311114,car,289,Sat J
291,Mon Aug 16 06:11:04 2021,1451546,car,290,Sun A
292,Fri Aug 20 13:36:58 2021,1711676,van,291,Mon A
293,Mon Aug  9 18:51:11 2021,6740804,car,292,Fri A
294,Wed Aug 18 12:19:24 2021,9049528,car,293,Mon A
295,Sun Aug 15 08:30:45 2021,5269094,van,294,Wed A
296,Wed Aug 11 13:15:58 2021,4753661,car,295,Sun A
297,Sat Aug 14 09:06:09 2021,1948111,car,296,Wed A
298,Tue Aug 17 00:00:26 2021,5894664,van,297,Sat A
299,Wed Aug 11 04:51:17 2021,5455717,truck,298,Tue A
300,Mon Aug  2 21:43:22 2021,1499647,car,299,Wed A
301,Thu Aug  5 21:50:38 2021,2843245,truck,300,Mon A
302,Mon Aug 16 04:30:00 2021,9796603,truck,301,Thu A
303,Sun Aug  1 21:21:40 2021,5671860,car,302,Mon A
304,Tue Aug 17 04:20:26 2021,425972,truck,303,Sun A
305,Tue Aug 10 07:28:04 2021,7588083,car,304,Tue A
306,Wed Aug  4 03:45:21 2021,4816147,car,305,Tue A
307,Thu Aug 12 06:45:42 2021,461211,car,306,Wed A
308,Fri Jul 30 07:48:58 2021,7091224,car,307,Thu A
309,Sat Aug 14 03:11:57 2021,3540160,car,308,Fri J
310,Sat Aug 21 01:26:42 2021,863358,van,309,Sat A
311,Sat Aug 21 07:49:28 2021,2813269,truck,310,Sat A
312,Sun Aug 15 02:47:01 2021,4346673,car,311,Sat A
313,Mon Aug  9 05:22:43 2021,2872850,truck,312,Sun A
314,Thu Aug 12 02:39:09 2021,6322565,car,313,Mon A
315,Tue Aug 10 13:58:49 2021,2138116,car,314,Thu A
316,Sat Aug 14 23:05:55 2021,9574626,van,315,Tue A
317,Thu Aug  5 18:17:26 2021,8951022,car,316,Sat A
318,Sat Jul 31 09:29:28 2021,6597551,truck,317,Thu A
319,Sun Aug  8 22:50:36 2021,3348298,car,318,Sat J
320,Fri Jul 30 20:45:55 2021,846482,car,319,Sun A
321,Tue Aug  3 11:54:14 2021,6676389,car,320,Fri J
322,Mon Aug  9 16:32:26 2021,5427260,car,321,Tue A
323,Tue Aug 17 07:58:48 2021,1653255,truck,322,Mon A
324,Tue Aug 17 19:16:31 2021,2976969,car,323,Tue A
325,Tue Aug 17 10:01:21 2021,2959955,car,324,Tue A
326,Sun Aug  8 13:34:03 2021,8519579,car,325,Tue A
327,Wed Aug  4 13:51:04 2021,340196,truck,326,Sun A
328,Sun Aug 15 14:02:51 2021,1959570,truck,327,Wed A
329,Tue Aug  3 14:46:46 2021,4214176,car,328,Sun A
330,Sat Aug  7 11:24:50 2021,430612,truck,329,Tue A
331,Sat Aug  7 10:02:09 2021,2164841,car,330,Sat A
332,Wed Aug 18 15:40:47 2021,6533535,car,331,Sat A
333,Tue Aug 17 10:44:33 2021,4798571,truck,332,Wed A
334,Sun Aug 15 18:22:49 2021,2760594,car,333,Tue A
335,Sat Aug 14 12:31:44 2021,2304313,truck,334,Sun A
336,Sat Aug  7 10:52:13 2021,2985337,car,335,Sat A
337,Sat Aug 21 09:14:47 2021,4227039,car,336,Sat A
338,Thu Aug  5 08:01:30 2021,1255970,truck,337,Sat A
339,Fri Aug 13 01:03:49 2021,5241924,truck,338,Thu A
340,Tue Aug  3 20:43:16 2021,7451832,car,339,Fri A
341,Mon Aug  2 04:45:44 2021,3989343,truck,340,Tue A
342,Sat Aug 14 18:14:30 2021,1804267,van,341,Mon A
343,Tue Aug 17 17:11:29 2021,1589440,truck,342,Sat A
344,Sat Aug 21 19:27:45 2021,7750582,car,343,Tue A
345,Sun Aug  8 12:34:50 2021,116476,car,344,Sat A
346,Fri Aug 20 07:15:06 2021,2617674,car,345,Sun A
347,Tue Aug 10 21:55:17 2021,4228191,car,346,Fri A
348,Mon Aug  9 14:43:31 2021,109141,van,347,Tue A
349,Wed Aug 11 16:55:19 2021,5065439,car,348,Mon A
350,Sun Aug 22 15:33:59 2021,1852318,truck,349,Wed A
351,Tue Aug 17 19:49:02 2021,3191217,car,350,Sun A
352,Fri Aug 20 13:55:39 2021,8036070,car,351,Tue A
353,Thu Jul 29 17:40:36 2021,7270810,car,352,Fri A
354,Sat Jul 31 07:08:17 2021,4800433,car,353,Thu J
355,Sun Aug 15 14:59:08 2021,7600086,car,354,Sat J
356,Mon Aug 16 20:41:37 2021,1308715,truck,355,Sun A
357,Thu Aug 19 16:46:20 2021,448292,car,356,Mon A
358,Tue Aug  3 10:52:15 2021,8125706,truck,357,Thu A
359,Sat Aug  7 22:39:54 2021,7354020,truck,358,Tue A
360,Fri Aug 20 12:45:43 2021,8604614,car,359,Sat A
361,Mon Aug 16 04:34:39 2021,8074052,car,360,Fri A
362,Tue Aug 17 21:02:38 2021,3137291,car,361,Mon A
363,Mon Aug  2 07:57:43 2021,7817055,car,362,Tue A
364,Mon Aug  2 23:55:35 2021,9979009,car,363,Mon A
365,Wed Aug 18 07:46:35 2021,7381741,car,364,Mon A
366,Tue Aug 10 09:53:24 2021,6413555,car,365,Wed A
367,Thu Aug  5 09:24:17 2021,5271350,car,366,Tue A
368,Sat Aug 21 02:13:24 2021,5887331,car,367,Thu A
369,Fri Aug 13 03:38:51 2021,2484968,car,368,Sat A
370,Sun Aug 15 21:25:06 2021,2023578,car,369,Fri A
371,Sat Aug 14 14:44:43 2021,2574839,car,370,Sun A
372,Sat Aug 21 11:27:08 2021,192172,truck,371,Sat A
373,Sat Jul 31 09:30:08 2021,1794758,truck,372,Sat A
374,Tue Aug  3 14:17:39 2021,254824,car,373,Sat J
375,Sun Aug  8 21:51:35 2021,8317981,truck,374,Tue A
376,Wed Aug 11 15:12:48 2021,7578701,van,375,Sun A
377,Thu Aug  5 12:56:57 2021,2555513,car,376,Wed A
378,Tue Aug 17 01:48:59 2021,2119264,car,377,Thu A
379,Sat Aug 21 20:51:46 2021,239988,car,378,Tue A
380,Mon Aug 16 11:08:11 2021,147156,van,379,Sat A
381,Sun Aug  8 18:05:36 2021,6891565,car,380,Mon A
382,Fri Aug  6 20:55:48 2021,4765841,car,381,Sun A
383,Fri Aug  6 10:14:37 2021,9017443,car,382,Fri A
384,Sat Aug 21 21:23:37 2021,8747053,car,383,Fri A
385,Sat Jul 31 03:38:36 2021,839289,truck,384,Sat A
386,Sun Aug 15 14:11:42 2021,7212737,car,385,Sat J
387,Sat Jul 31 22:09:56 2021,9707238,truck,386,Sun A
388,Mon Aug 16 23:15:11 2021,9288974,car,387,Sat J
389,Fri Jul 30 20:43:48 2021,2130769,car,388,Mon A
390,Tue Aug 10 02:13:35 2021,3651531,car,389,Fri J
391,Sun Aug 22 16:20:32 2021,5066582,car,390,Tue A
392,Sat Aug 21 10:40:29 2021,318251,car,391,Sun A
393,Sat Aug 21 13:30:56 2021,1018828,car,392,Sat A
394,Sun Aug  8 17:03:19 2021,4329135,car,393,Sat A
395,Tue Aug  3 22:42:16 2021,5510586,car,394,Sun A
396,Mon Aug 16 07:20:43 2021,1292686,van,395,Tue A
397,Thu Aug  5 01:52:17 2021,2875806,truck,396,Mon A
398,Sat Jul 31 08:15:24 2021,5025963,car,397,Thu A
399,Sat Aug 14 05:27:21 2021,2358436,car,398,Sat J
400,Fri Aug 20 07:33:43 2021,4363896,truck,399,Sat A
401,Fri Aug  6 02:08:16 2021,7051510,truck,400,Fri A
402,Fri Aug  6 13:29:57 2021,5575517,car,401,Fri A
403,Sat Jul 31 00:10:02 2021,2930078,car,402,Fri A
404,Thu Jul 29 15:14:45 2021,1439079,truck,403,Sat J
405,Mon Aug  9 16:59:57 2021,2085626,truck,404,Thu J
406,Mon Aug  9 16:41:38 2021,809065,car,405,Mon A
407,Fri Aug  6 06:10:52 2021,4100648,car,406,Mon A
408,Thu Aug 19 11:38:52 2021,9745831,truck,407,Fri A
409,Fri Aug  6 03:00:46 2021,7337960,car,408,Thu A
410,Tue Aug 10 15:04:38 2021,3612246,car,409,Fri A
411,Tue Aug 10 19:31:40 2021,8601164,car,410,Tue A
412,Sat Jul 31 15:35:09 2021,6123311,truck,411,Tue A
413,Mon Aug  2 08:29:14 2021,3507029,car,412,Sat J
414,Tue Aug  3 10:38:37 2021,1725151,truck,413,Mon A
415,Wed Aug 11 11:29:02 2021,8860504,car,414,Tue A
416,Sat Aug  7 22:59:56 2021,2017681,truck,415,Wed A
417,Sat Aug  7 23:16:29 2021,8183479,car,416,Sat A
418,Tue Aug 17 02:49:59 2021,8811914,car,417,Sat A
419,Sun Aug 15 00:53:46 2021,9631688,car,418,Tue A
420,Mon Aug  9 02:25:32 2021,8193463,truck,419,Sun A
